行权价,上涨触发%,下跌触发%,平仓时间,累计盈亏$,交易天数,日均盈亏$
±4,4.75,5.0,10:30,-1243.2,39,-31.88
±4,5.0,3.75,10:30,-1243.2,39,-31.88
±4,5.0,4.0,10:30,-1243.2,39,-31.88
±4,5.0,4.25,10:30,-1243.2,39,-31.88
±4,5.0,4.75,10:30,-1243.2,39,-31.88
±4,4.75,3.0,10:30,-1243.2,39,-31.88
±4,4.75,2.75,10:30,-1243.2,39,-31.88
±4,4.75,2.5,10:30,-1243.2,39,-31.88
±4,5.0,5.0,10:30,-1243.2,39,-31.88
±4,4.5,2.5,10:30,-1243.2,39,-31.88
±4,4.5,2.75,10:30,-1243.2,39,-31.88
±4,4.5,4.25,10:30,-1243.2,39,-31.88
±4,4.5,3.5,10:30,-1243.2,39,-31.88
±4,4.25,4.0,10:30,-1243.2,39,-31.88
±4,4.25,3.75,10:30,-1243.2,39,-31.88
±4,4.25,3.5,10:30,-1243.2,39,-31.88
±4,4.25,3.25,10:30,-1243.2,39,-31.88
±4,4.25,3.0,10:30,-1243.2,39,-31.88
±4,2.75,4.5,10:30,-1243.2,39,-31.88
±4,2.75,4.75,10:30,-1243.2,39,-31.88
±4,2.75,4.0,10:30,-1243.2,39,-31.88
±4,3.0,2.5,10:30,-1243.2,39,-31.88
±4,1.25,5.0,10:30,-1243.2,39,-31.88
±4,2.75,4.25,10:30,-1243.2,39,-31.88
±4,2.75,3.75,10:30,-1243.2,39,-31.88
±4,3.75,3.5,10:30,-1243.2,39,-31.88
±4,3.75,2.75,10:30,-1243.2,39,-31.88
±4,3.75,3.0,10:30,-1243.2,39,-31.88
±4,3.75,2.5,10:30,-1243.2,39,-31.88
±4,1.25,4.75,10:30,-1243.2,39,-31.88
±4,1.25,4.5,10:30,-1243.2,39,-31.88
±4,1.25,4.25,10:30,-1243.2,39,-31.88
±4,1.25,4.0,10:30,-1243.2,39,-31.88
±4,1.25,3.5,10:30,-1243.2,39,-31.88
±4,1.25,3.75,10:30,-1243.2,39,-31.88
±4,1.25,3.25,10:30,-1243.2,39,-31.88
±4,1.25,3.0,10:30,-1243.2,39,-31.88
±4,1.25,2.5,10:30,-1243.2,39,-31.88
±4,1.25,2.75,10:30,-1243.2,39,-31.88
±4,3.5,3.75,10:30,-1243.2,39,-31.88
±4,3.5,4.0,10:30,-1243.2,39,-31.88
±4,3.5,4.5,10:30,-1243.2,39,-31.88
±4,3.5,4.25,10:30,-1243.2,39,-31.88
±4,3.5,5.0,10:30,-1243.2,39,-31.88
±4,3.5,4.75,10:30,-1243.2,39,-31.88
±4,2.75,3.25,10:30,-1243.2,39,-31.88
