行权价,上涨触发%,下跌触发%,平仓时间,累计盈亏$,交易天数,日均盈亏$
±1,1.75,0.75,11:00,-536.2,39,-13.75
±1,1.25,0.75,11:00,-538.2,39,-13.8
±1,1.75,3.5,10:30,-538.2,39,-13.8
±1,1.5,0.75,11:00,-539.2,39,-13.83
±1,3.0,4.25,10:00,-540.2,39,-13.85
±1,3.0,4.75,10:00,-540.2,39,-13.85
±1,3.0,5.0,10:00,-540.2,39,-13.85
±1,3.25,3.25,10:00,-540.2,39,-13.85
±1,3.5,3.25,10:00,-540.2,39,-13.85
±1,3.0,3.75,10:00,-540.2,39,-13.85
±1,3.0,4.5,10:00,-540.2,39,-13.85
±1,3.0,4.0,10:00,-540.2,39,-13.85
±0.5,2.0,0.75,10:30,-541.2,39,-13.88
±1,2.5,2.25,10:30,-542.2,39,-13.9
±1,3.5,2.75,10:30,-542.2,39,-13.9
±1,3.25,2.75,10:30,-542.2,39,-13.9
±1,3.25,0.75,11:00,-543.2,39,-13.93
±1,3.5,1.0,13:00,-544.2,39,-13.95
±0.5,2.75,0.75,10:00,-544.2,39,-13.95
±1,3.25,2.5,10:30,-544.2,39,-13.95
±1,3.5,2.5,10:30,-544.2,39,-13.95
±1,1.25,0.5,12:30,-544.2,39,-13.95
±1,2.0,0.75,10:00,-544.2,39,-13.95
±1,2.0,2.25,10:30,-544.2,39,-13.95
±1,1.25,1.0,10:30,-545.2,39,-13.98
±1,2.0,0.75,11:00,-545.2,39,-13.98
±1,1.0,0.75,12:00,-545.2,39,-13.98
±1,0.75,3.75,10:30,-548.2,39,-14.06
±0.5,1.5,0.5,11:00,-549.2,39,-14.08
±1,0.75,4.25,10:30,-550.2,39,-14.11
±1,0.75,5.0,10:30,-550.2,39,-14.11
±1,0.75,4.75,10:30,-550.2,39,-14.11
±1,0.75,4.5,10:30,-550.2,39,-14.11
±1,0.75,4.0,10:30,-550.2,39,-14.11
±0.5,3.0,1.0,10:30,-552.2,39,-14.16
±1,2.75,2.75,10:30,-552.2,39,-14.16
±1,1.5,1.75,10:30,-552.2,39,-14.16
±1,2.75,2.5,10:30,-554.2,39,-14.21
±0.5,3.5,0.75,11:00,-554.2,39,-14.21
±0.5,3.0,0.5,11:00,-554.2,39,-14.21
±1,3.25,1.25,10:30,-555.2,39,-14.24
±1,3.5,1.25,10:30,-555.2,39,-14.24
±1,2.75,0.5,13:00,-555.2,39,-14.24
±1,3.0,3.25,10:00,-556.2,39,-14.26
±1,0.5,1.75,10:30,-558.2,39,-14.31
±1,1.75,3.25,10:30,-558.2,39,-14.31
±0.5,4.75,0.75,10:30,-559.2,39,-14.34
±0.5,5.0,0.75,10:30,-559.2,39,-14.34
±0.5,1.75,0.75,10:30,-559.2,39,-14.34
±1,1.5,3.5,10:30,-559.2,39,-14.34
±0.5,4.5,0.75,10:30,-559.2,39,-14.34
±0.5,4.0,0.75,10:30,-559.2,39,-14.34
±0.5,4.25,0.75,10:30,-559.2,39,-14.34
±0.5,3.75,0.75,10:30,-559.2,39,-14.34
±1,4.0,1.0,10:00,-560.2,39,-14.36
±1,4.25,1.0,10:00,-560.2,39,-14.36
±1,0.5,1.0,13:00,-560.2,39,-14.36
±1,3.75,1.0,10:00,-560.2,39,-14.36
±1,5.0,1.0,10:00,-560.2,39,-14.36
±1,4.5,1.0,10:00,-560.2,39,-14.36
±1,4.75,1.0,10:00,-560.2,39,-14.36
±1,4.5,2.25,10:30,-562.2,39,-14.42
±1,4.75,2.25,10:30,-562.2,39,-14.42
±1,4.0,2.25,10:30,-562.2,39,-14.42
±1,4.25,2.25,10:30,-562.2,39,-14.42
±1,5.0,2.25,10:30,-562.2,39,-14.42
±1,3.75,2.25,10:30,-562.2,39,-14.42
±1,2.75,0.5,13:30,-564.2,39,-14.47
±1,0.5,3.5,10:30,-565.2,39,-14.49
±1,1.0,0.75,10:30,-565.2,39,-14.49
±1,2.75,1.25,10:30,-565.2,39,-14.49
±1,0.5,3.5,10:00,-566.2,39,-14.52
±1,1.25,0.75,13:00,-568.2,39,-14.57
±0.5,4.25,0.5,10:00,-568.2,39,-14.57
±0.5,5.0,0.5,10:00,-568.2,39,-14.57
±0.5,3.75,0.5,10:00,-568.2,39,-14.57
±0.5,4.0,0.5,10:00,-568.2,39,-14.57
±0.5,4.5,0.5,10:00,-568.2,39,-14.57
±0.5,4.75,0.5,10:00,-568.2,39,-14.57
±1,2.75,3.5,10:00,-569.2,39,-14.59
±1,0.5,4.0,10:00,-570.2,39,-14.62
±1,0.5,3.75,10:00,-570.2,39,-14.62
±1,0.5,5.0,10:00,-570.2,39,-14.62
±1,0.5,4.75,10:00,-570.2,39,-14.62
±1,0.5,4.5,10:00,-570.2,39,-14.62
±1,0.5,4.25,10:00,-570.2,39,-14.62
±1,2.5,0.5,11:00,-570.2,39,-14.62
±1,3.0,0.75,11:00,-571.2,39,-14.65
±1,2.75,4.5,10:00,-573.2,39,-14.7
±1,2.75,4.75,10:00,-573.2,39,-14.7
±1,2.75,4.0,10:00,-573.2,39,-14.7
±1,2.75,3.75,10:00,-573.2,39,-14.7
±1,2.75,5.0,10:00,-573.2,39,-14.7
±1,2.75,4.25,10:00,-573.2,39,-14.7
±1,1.5,0.75,10:00,-574.2,39,-14.72
±0.5,2.25,0.75,11:00,-576.2,39,-14.77
±0.5,3.25,1.0,10:30,-576.2,39,-14.77
±0.5,0.75,0.5,10:00,-576.2,39,-14.77
±0.5,3.5,1.0,10:30,-576.2,39,-14.77
±1,0.75,0.75,11:00,-577.2,39,-14.8
±1,0.75,0.75,11:30,-577.2,39,-14.8
±1,2.25,3.0,10:30,-577.2,39,-14.8
±1,1.25,0.75,12:30,-578.2,39,-14.83
±1,1.25,1.75,10:30,-578.2,39,-14.83
±1,2.5,1.0,10:00,-579.2,39,-14.85
±1,1.5,3.25,10:30,-579.2,39,-14.85
±0.5,2.5,0.5,10:00,-580.2,39,-14.88
±1,1.25,0.75,13:30,-580.2,39,-14.88
±1,1.25,3.5,10:30,-585.2,39,-15.01
±0.5,1.75,0.75,11:00,-585.2,39,-15.01
±1,0.5,3.25,10:30,-585.2,39,-15.01
±0.5,2.75,1.0,10:30,-585.2,39,-15.01
±1,0.5,3.25,10:00,-586.2,39,-15.03
±1,0.75,3.5,10:00,-586.2,39,-15.03
±1,1.75,2.25,10:30,-586.2,39,-15.03
±0.5,1.5,0.75,10:30,-586.2,39,-15.03
±0.5,2.75,0.5,11:00,-587.2,39,-15.06
±1,0.75,1.0,10:30,-587.2,39,-15.06
±1,3.5,0.75,14:00,-587.2,39,-15.06
±1,2.25,1.5,10:30,-589.2,39,-15.11
±1,2.75,3.25,10:00,-589.2,39,-15.11
